date:2018/09/09---LINSSIDDATALOGVER hi 2.8
Time	SSID	MAC	Channel	Mode	Protocol	Security	Privacy	Cipher	Frequency	Quality	Signal	BW	Min_Sig	Max_Sig	Cen_Chan	First_Seen	Last_Seen	Vendor
2018/09/09.15:56:33	"TU"	D4:68:4D:3E:A6:88	7	AP	bgn	PSK	CCMP	CCMP	2442	64	-68	20	-71	-66	7	2018/09/09.15:54:43	2018/09/09.15:56:33	"Ruckus Wireless"
2018/09/09.15:56:33	"TU"	D4:68:4D:3E:8A:68	7	AP	bgn	PSK	CCMP	CCMP	2442	68	-66	20	-69	-66	7	2018/09/09.15:54:43	2018/09/09.15:56:33	"Ruckus Wireless"
2018/09/09.15:56:33	"TU"	D4:68:4D:3E:54:18	9	AP		PSK	CCMP	CCMP	2452	22	-110	20	-89	-87	9	2018/09/09.15:54:43	2018/09/09.15:55:48	"Ruckus Wireless"
2018/09/09.15:56:33	"TU"	D4:68:4D:3E:58:E8	9	AP	bgn	PSK	CCMP	CCMP	2452	32	-84	20	-87	-83	9	2018/09/09.15:54:43	2018/09/09.15:56:33	"Ruckus Wireless"
2018/09/09.15:56:33	"TU"	6C:AA:B3:32:24:68	11	AP		PSK	CCMP	CCMP	2462	22	-110	20	-89	-86	11	2018/09/09.15:54:43	2018/09/09.15:55:48	"Ruckus Wireless"
2018/09/09.15:56:33	"EACCESS"	6C:AA:B3:72:24:68	11	AP		PSK	CCMP	CCMP	2462	26	-110	20	-89	-86	11	2018/09/09.15:54:43	2018/09/09.15:55:48	"Ruckus Wireless"
2018/09/09.15:56:33	"TU"	D4:68:4D:3E:8E:38	4	AP		PSK	CCMP	CCMP	2427	30	-110	20	-85	-85	4	2018/09/09.15:54:49	2018/09/09.15:55:16	"Ruckus Wireless"
2018/09/09.15:56:33	"TU"	D4:68:4D:3E:89:58	4	AP	bgn	PSK	CCMP	CCMP	2427	44	-78	20	-80	-75	4	2018/09/09.15:54:49	2018/09/09.15:56:33	"Ruckus Wireless"
2018/09/09.15:56:33	"TU"	D4:68:4D:3E:81:98	4	AP	bgn	PSK	CCMP	CCMP	2427	56	-72	20	-74	-71	4	2018/09/09.15:54:49	2018/09/09.15:56:33	"Ruckus Wireless"
2018/09/09.15:56:33	"TU"	D4:68:4D:3E:77:38	7	AP		PSK	CCMP	CCMP	2442	50	-110	20	-78	-74	7	2018/09/09.15:54:49	2018/09/09.15:55:48	"Ruckus Wireless"
2018/09/09.15:56:33	"TU"	D4:68:4D:3E:A7:B8	11	AP	bgn	PSK	CCMP	CCMP	2462	42	-79	20	-79	-75	11	2018/09/09.15:54:49	2018/09/09.15:56:33	"Ruckus Wireless"
2018/09/09.15:56:33	"Directorate"	58:93:96:08:4A:18	2	AP	bgn	PSK	TKIP	CCMP TKIP	2417	28	-86	20	-87	-80	2	2018/09/09.15:54:54	2018/09/09.15:56:33	"Ruckus Wireless"
2018/09/09.15:56:33	"TU"	D4:68:4D:3E:54:88	11	AP		PSK	CCMP	CCMP	2462	24	-110	20	-89	-88	11	2018/09/09.15:54:59	2018/09/09.15:55:48	"Ruckus Wireless"
2018/09/09.15:56:33	"TU"	D4:68:4D:3E:54:8C	153	AP		PSK	CCMP	CCMP	5765	26	-110	80	-87	-86	151	2018/09/09.15:54:59	2018/09/09.15:55:48	"Ruckus Wireless"
2018/09/09.15:56:33	"HP-Print-9E-LaserJet Pro MFP"	44:1C:A8:0F:72:9E	6	AP		PSK	TKIP	TKIP CCMP	2437	22	-110	20	-89	-89	6	2018/09/09.15:55:10	2018/09/09.15:55:32	"Hon Hai Precision Ind. Co.,Ltd."
2018/09/09.15:56:33	"TU"	D4:68:4D:3E:A6:38	4	AP		PSK	CCMP	CCMP	2427	20	-110	20	-90	-90	4	2018/09/09.15:55:43	2018/09/09.15:55:48	"Ruckus Wireless"
2018/09/09.15:56:33	"DIRECT-50-HP M427 LaserJet"	42:49:0F:9A:96:50	6	AP	bgn	PSK	CCMP	CCMP	2437	22	-89	20	-89	-89	6	2018/09/09.15:56:28	2018/09/09.15:56:33	"<unrecognized>"
